UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,ISBN,Creator,Subjects,Publisher,PublicationYear
Digital,OverDrive,EBOOK,2012,4,3,"The Accidental Billionaires: The Founding of Facebook: A Tale of Sex, Money, Genius and Betrayal",,Ben Mezrich,"Biography & Autobiography, Business, Nonfiction","Random House, Inc.",2009
Physical,Horizon,BOOK,2012,4,6,"The accidental billionaires : the founding of Facebook , a tale of sex, money, genius, and betrayal / Ben Mezrich.",,"Mezrich, Ben, 1969-","Zuckerberg Mark 1984, Saverin Eduardo, Facebook Firm, Facebook Electronic resource, Webmasters United States Biography, College students United States Biography, Businesspeople United States Biography, Online social networks","Doubleday,",2009.
Digital,OverDrive,AUDIOBOOK,2012,5,1,The Accidental Billionaires (Unabridged),,Ben Mezrich,"History, Nonfiction",Books on Tape,2009
Physical,Horizon,BOOK,2012,5,2,"The accidental billionaires : the founding of Facebook , a tale of sex, money, genius, and betrayal / Ben Mezrich.",,"Mezrich, Ben, 1969-","Zuckerberg Mark 1984, Saverin Eduardo, Facebook Firm, Facebook Electronic resource, Webmasters United States Biography, College students United States Biography, Businesspeople United States Biography, Online social networks","Doubleday,",2009.
Physical,Horizon,SOUNDDISC,2012,5,1,"The accidental billionaires [sound recording] : [the founding of Facebook, a tale of sex, money, genius and betrayal] / Ben Mezrich.",,"Mezrich, Ben, 1969-","Zuckerberg Mark 1984, Saverin Eduardo, Facebook Firm, Facebook Electronic resource, Webmasters United States Biography, College students United States Biography, Businesspeople United States Biography, Online social networks","Random House Audio,",p2009.
Digital,OverDrive,EBOOK,2012,5,5,"The Accidental Billionaires: The Founding of Facebook: A Tale of Sex, Money, Genius and Betrayal",,Ben Mezrich,"Biography & Autobiography, Business, Nonfiction","Random House, Inc.",2009
Physical,Horizon,SOUNDDISC,2012,6,1,"The accidental billionaires [sound recording] : [the founding of Facebook, a tale of sex, money, genius and betrayal] / Ben Mezrich.",,"Mezrich, Ben, 1969-","Zuckerberg Mark 1984, Saverin Eduardo, Facebook Firm, Facebook Electronic resource, Webmasters United States Biography, College students United States Biography, Businesspeople United States Biography, Online social networks","Random House Audio,",p2009.
Digital,OverDrive,EBOOK,2012,6,2,"The Accidental Billionaires: The Founding of Facebook: A Tale of Sex, Money, Genius and Betrayal",,Ben Mezrich,"Biography & Autobiography, Business, Nonfiction","Random House, Inc.",2009
Physical,Horizon,BOOK,2012,6,2,"The accidental billionaires : the founding of Facebook , a tale of sex, money, genius, and betrayal / Ben Mezrich.",,"Mezrich, Ben, 1969-","Zuckerberg Mark 1984, Saverin Eduardo, Facebook Firm, Facebook Electronic resource, Webmasters United States Biography, College students United States Biography, Businesspeople United States Biography, Online social networks","Doubleday,",2009.
Digital,OverDrive,EBOOK,2012,7,5,"The Accidental Billionaires: The Founding of Facebook: A Tale of Sex, Money, Genius and Betrayal",,Ben Mezrich,"Biography & Autobiography, Business, Nonfiction","Random House, Inc.",2009
Physical,Horizon,BOOK,2012,7,4,"The accidental billionaires : the founding of Facebook , a tale of sex, money, genius, and betrayal / Ben Mezrich.",,"Mezrich, Ben, 1969-","Zuckerberg Mark 1984, Saverin Eduardo, Facebook Firm, Facebook Electronic resource, Webmasters United States Biography, College students United States Biography, Businesspeople United States Biography, Online social networks","Doubleday,",2009.
Digital,OverDrive,AUDIOBOOK,2012,7,1,The Accidental Billionaires (Unabridged),,Ben Mezrich,"History, Nonfiction",Books on Tape,2009
Physical,Horizon,SOUNDDISC,2012,7,1,"The accidental billionaires [sound recording] : [the founding of Facebook, a tale of sex, money, genius and betrayal] / Ben Mezrich.",,"Mezrich, Ben, 1969-","Zuckerberg Mark 1984, Saverin Eduardo, Facebook Firm, Facebook Electronic resource, Webmasters United States Biography, College students United States Biography, Businesspeople United States Biography, Online social networks","Random House Audio,",p2009.
Physical,Horizon,BOOK,2012,8,2,"The accidental billionaires : the founding of Facebook , a tale of sex, money, genius, and betrayal / Ben Mezrich.",,"Mezrich, Ben, 1969-","Zuckerberg Mark 1984, Saverin Eduardo, Facebook Firm, Facebook Electronic resource, Webmasters United States Biography, College students United States Biography, Businesspeople United States Biography, Online social networks","Doubleday,",2009.
Digital,OverDrive,EBOOK,2012,8,3,"The Accidental Billionaires: The Founding of Facebook: A Tale of Sex, Money, Genius and Betrayal",,Ben Mezrich,"Biography & Autobiography, Business, Nonfiction","Random House, Inc.",2009
Physical,Horizon,SOUNDDISC,2012,8,1,"The accidental billionaires [sound recording] : [the founding of Facebook, a tale of sex, money, genius and betrayal] / Ben Mezrich.",,"Mezrich, Ben, 1969-","Zuckerberg Mark 1984, Saverin Eduardo, Facebook Firm, Facebook Electronic resource, Webmasters United States Biography, College students United States Biography, Businesspeople United States Biography, Online social networks","Random House Audio,",p2009.
Digital,OverDrive,EBOOK,2012,9,3,"The Accidental Billionaires: The Founding of Facebook: A Tale of Sex, Money, Genius and Betrayal",,Ben Mezrich,"Biography & Autobiography, Business, Nonfiction","Random House, Inc.",2009
Digital,OverDrive,EBOOK,2012,10,2,"The Accidental Billionaires: The Founding of Facebook: A Tale of Sex, Money, Genius and Betrayal",,Ben Mezrich,"Biography & Autobiography, Business, Nonfiction","Random House, Inc.",2009
Digital,OverDrive,AUDIOBOOK,2012,10,1,The Accidental Billionaires (Unabridged),,Ben Mezrich,"History, Nonfiction",Books on Tape,2009
Physical,Horizon,BOOK,2012,11,1,"The accidental billionaires : the founding of Facebook , a tale of sex, money, genius, and betrayal / Ben Mezrich.",,"Mezrich, Ben, 1969-","Zuckerberg Mark 1984, Saverin Eduardo, Facebook Firm, Facebook Electronic resource, Webmasters United States Biography, College students United States Biography, Businesspeople United States Biography, Online social networks","Doubleday,",2009.
Digital,OverDrive,EBOOK,2012,11,1,"The Accidental Billionaires: The Founding of Facebook: A Tale of Sex, Money, Genius and Betrayal",,Ben Mezrich,"Biography & Autobiography, Business, Nonfiction","Random House, Inc.",2009
Physical,Horizon,SOUNDDISC,2012,12,2,"The accidental billionaires [sound recording] : [the founding of Facebook, a tale of sex, money, genius and betrayal] / Ben Mezrich.",,"Mezrich, Ben, 1969-","Zuckerberg Mark 1984, Saverin Eduardo, Facebook Firm, Facebook Electronic resource, Webmasters United States Biography, College students United States Biography, Businesspeople United States Biography, Online social networks","Random House Audio,",p2009.
Digital,OverDrive,EBOOK,2012,12,2,"The Accidental Billionaires: The Founding of Facebook: A Tale of Sex, Money, Genius and Betrayal",,Ben Mezrich,"Biography & Autobiography, Business, Nonfiction","Random House, Inc.",2009
Physical,Horizon,BOOK,2012,12,1,"The accidental billionaires : the founding of Facebook , a tale of sex, money, genius, and betrayal / Ben Mezrich.",,"Mezrich, Ben, 1969-","Zuckerberg Mark 1984, Saverin Eduardo, Facebook Firm, Facebook Electronic resource, Webmasters United States Biography, College students United States Biography, Businesspeople United States Biography, Online social networks","Doubleday,",2009.
Digital,OverDrive,AUDIOBOOK,2012,12,1,The Accidental Billionaires (Unabridged),,Ben Mezrich,"History, Nonfiction",Books on Tape,2009
Physical,Horizon,BOOK,2013,1,2,"The accidental billionaires : the founding of Facebook , a tale of sex, money, genius, and betrayal / Ben Mezrich.",,"Mezrich, Ben, 1969-","Zuckerberg Mark 1984, Saverin Eduardo, Facebook Firm, Facebook Electronic resource, Webmasters United States Biography, College students United States Biography, Businesspeople United States Biography, Online social networks","Doubleday,",2009.
Physical,Horizon,SOUNDDISC,2013,1,1,"The accidental billionaires [sound recording] : [the founding of Facebook, a tale of sex, money, genius and betrayal] / Ben Mezrich.",,"Mezrich, Ben, 1969-","Zuckerberg Mark 1984, Saverin Eduardo, Facebook Firm, Facebook Electronic resource, Webmasters United States Biography, College students United States Biography, Businesspeople United States Biography, Online social networks","Random House Audio,",p2009.
Digital,OverDrive,AUDIOBOOK,2013,1,1,The Accidental Billionaires (Unabridged),,Ben Mezrich,"History, Nonfiction",Books on Tape,2009
Digital,OverDrive,EBOOK,2013,1,1,"The Accidental Billionaires: The Founding of Facebook: A Tale of Sex, Money, Genius and Betrayal",,Ben Mezrich,"Biography & Autobiography, Business, Nonfiction","Random House, Inc.",2009
Physical,Horizon,BOOK,2013,2,2,"The accidental billionaires : the founding of Facebook , a tale of sex, money, genius, and betrayal / Ben Mezrich.",,"Mezrich, Ben, 1969-","Zuckerberg Mark 1984, Saverin Eduardo, Facebook Firm, Facebook Electronic resource, Webmasters United States Biography, College students United States Biography, Businesspeople United States Biography, Online social networks","Doubleday,",2009.
Digital,OverDrive,EBOOK,2013,2,2,"The Accidental Billionaires: The Founding of Facebook: A Tale of Sex, Money, Genius and Betrayal",,Ben Mezrich,"Biography & Autobiography, Business, Nonfiction","Random House, Inc.",2009
Physical,Horizon,SOUNDDISC,2013,3,1,"The accidental billionaires [sound recording] : [the founding of Facebook, a tale of sex, money, genius and betrayal] / Ben Mezrich.",,"Mezrich, Ben, 1969-","Zuckerberg Mark 1984, Saverin Eduardo, Facebook Firm, Facebook Electronic resource, Webmasters United States Biography, College students United States Biography, Businesspeople United States Biography, Online social networks","Random House Audio,",p2009.
Digital,OverDrive,EBOOK,2013,3,1,"The Accidental Billionaires: The Founding of Facebook: A Tale of Sex, Money, Genius and Betrayal",,Ben Mezrich,"Biography & Autobiography, Business, Nonfiction","Random House, Inc.",2009
Digital,OverDrive,AUDIOBOOK,2013,4,1,The Accidental Billionaires (Unabridged),,Ben Mezrich,"History, Nonfiction",Books on Tape,2009
Digital,OverDrive,EBOOK,2013,4,2,"The Accidental Billionaires: The Founding of Facebook: A Tale of Sex, Money, Genius and Betrayal",,Ben Mezrich,"Biography & Autobiography, Business, Nonfiction","Random House, Inc.",2009
Physical,Horizon,BOOK,2013,4,1,"The accidental billionaires : the founding of Facebook , a tale of sex, money, genius, and betrayal / Ben Mezrich.",,"Mezrich, Ben, 1969-","Zuckerberg Mark 1984, Saverin Eduardo, Facebook Firm, Facebook Electronic resource, Webmasters United States Biography, College students United States Biography, Businesspeople United States Biography, Online social networks","Doubleday,",2009.
Physical,Horizon,BOOK,2013,5,1,"The accidental billionaires : the founding of Facebook , a tale of sex, money, genius, and betrayal / Ben Mezrich.",,"Mezrich, Ben, 1969-","Zuckerberg Mark 1984, Saverin Eduardo, Facebook Firm, Facebook Electronic resource, Webmasters United States Biography, College students United States Biography, Businesspeople United States Biography, Online social networks","Doubleday,",2009.
Digital,OverDrive,EBOOK,2013,5,1,"The Accidental Billionaires: The Founding of Facebook: A Tale of Sex, Money, Genius and Betrayal",,Ben Mezrich,"Biography & Autobiography, Business, Nonfiction","Random House, Inc.",2009
Physical,Horizon,BOOK,2013,6,1,"The accidental billionaires : the founding of Facebook , a tale of sex, money, genius, and betrayal / Ben Mezrich.",,"Mezrich, Ben, 1969-","Zuckerberg Mark 1984, Saverin Eduardo, Facebook Firm, Facebook Electronic resource, Webmasters United States Biography, College students United States Biography, Businesspeople United States Biography, Online social networks","Doubleday,",2009.
Digital,OverDrive,EBOOK,2013,6,2,"The Accidental Billionaires: The Founding of Facebook: A Tale of Sex, Money, Genius and Betrayal",,Ben Mezrich,"Biography & Autobiography, Business, Nonfiction","Random House, Inc.",2009
